334_373,334_384,ratio,surfactant,assay,time,replicate,concentration
115794.0,142026.0,0.8153014236829876,SDS,b,30,1,7.225
114013.0,140153.0,0.8134895435702411,SDS,b,30,1,8.075
137539.0,181730.0,0.7568315633082044,SDS,b,30,1,8.925
160426.0,221117.0,0.7255254005797835,SDS,b,30,1,9.775
162338.0,225229.0,0.720768639917595,SDS,b,30,1,10.625
150162.0,205254.0,0.7315911017568476,SDS,b,30,1,12.75
146283.0,200432.0,0.729838548734733,SDS,b,30,1,16.460179221381527
125739.0,170907.0,0.7357159156734364,SDS,b,30,1,21.25
125074.0,150708.0,0.8299094938556679,SDS,c,30,1,3.4
136088.0,162848.0,0.8356749852623305,SDS,c,30,1,4.389381125701739
128484.0,157267.0,0.8169800403136068,SDS,c,30,1,5.666666666666667
124388.0,154589.0,0.8046368111573269,SDS,c,30,1,6.375
124714.0,156761.0,0.7955677751481555,SDS,c,30,1,7.225
131857.0,164805.0,0.8000788811019083,SDS,c,30,1,8.075
133819.0,177500.0,0.7539098591549296,SDS,c,30,1,8.925
129070.0,172330.0,0.748969999419718,SDS,c,30,1,9.775
153542.0,210202.0,0.730449757851971,SDS,c,30,1,10.625
153732.0,214621.0,0.7162952367196127,SDS,c,30,1,12.75
137652.0,186693.0,0.7373174141505038,SDS,c,30,1,16.460179221381527
125105.0,169522.0,0.7379868099715671,SDS,c,30,1,21.25
129777.0,165376.0,0.7847390189628483,SDS,a,0,3,3.4
138176.0,176001.0,0.7850864483724525,SDS,a,0,3,4.389381125701739
136360.0,171454.0,0.7953153615547027,SDS,a,0,3,5.666666666666667
136981.0,170644.0,0.8027296594078901,SDS,a,0,3,6.375
136933.0,168919.0,0.8106429708913739,SDS,a,0,3,7.225
130764.0,163574.0,0.799418000415714,SDS,a,0,3,8.075
145583.0,194629.0,0.7480026100940764,SDS,a,0,3,8.925
153981.0,212175.0,0.7257264050901379,SDS,a,0,3,9.775
151613.0,214043.0,0.7083296346995697,SDS,a,0,3,10.625
152118.0,213549.0,0.7123330008569462,SDS,a,0,3,12.75
139868.0,197087.0,0.7096764373094115,SDS,a,0,3,16.460179221381527
126048.0,174592.0,0.7219574780058651,SDS,a,0,3,21.25
144952.0,178035.0,0.8141769876709636,NaDC,b,5,1,2.135
132865.0,161937.0,0.8204733939741998,NaDC,b,5,1,2.756273148050945
156370.0,186096.0,0.8402652394463073,NaDC,b,5,1,3.5583333333333336
165539.0,197377.0,0.8386944780800194,NaDC,b,5,1,4.003125000000001
125766.0,155832.0,0.8070614507931618,NaDC,b,5,1,4.536875
121411.0,149012.0,0.8147733068477706,NaDC,b,5,1,5.070625000000001
162952.0,229721.0,0.7093474257904153,NaDC,b,5,1,5.604375
169098.0,242441.0,0.6974810366233434,NaDC,b,5,1,6.1381250000000005
169122.0,243600.0,0.6942610837438423,NaDC,b,5,1,6.671875
162335.0,234835.0,0.6912725956522665,NaDC,b,5,1,8.006250000000003
151979.0,219902.0,0.6911214995770844,NaDC,b,5,1,10.336024305191044
130852.0,187041.0,0.6995899294807021,NaDC,b,5,1,13.343749999999996
133071.0,164466.0,0.8091094815949801,NaDC,c,5,1,2.135
127073.0,158260.0,0.8029382029571591,NaDC,c,5,1,2.756273148050945
132120.0,162563.0,0.812731064264316,NaDC,c,5,1,3.5583333333333336
131733.0,163446.0,0.8059726148085606,NaDC,c,5,1,4.003125000000001
132404.0,164457.0,0.8050979891400184,NaDC,c,5,1,4.536875
132278.0,162573.0,0.8136529436007209,NaDC,c,5,1,5.070625000000001
176942.0,247247.0,0.7156487237458897,NaDC,c,5,1,5.604375
182042.0,253345.0,0.7185537508141072,NaDC,c,5,1,6.1381250000000005
164987.0,234427.0,0.7037883861500595,NaDC,c,5,1,6.671875
160824.0,231801.0,0.6938020112078895,NaDC,c,5,1,8.006250000000003
150621.0,217885.0,0.6912866879317071,NaDC,c,5,1,10.336024305191044
134391.0,191668.0,0.701165557109168,NaDC,c,5,1,13.343749999999996
142318.0,176591.0,0.8059187614317831,SDS,b,20,1,3.4
142082.0,176138.0,0.8066516027205941,SDS,b,20,1,4.389381125701739
143190.0,176042.0,0.8133854421104054,SDS,b,20,1,5.666666666666667
130801.0,158066.0,0.8275087621626409,SDS,b,20,1,6.375
119796.0,146868.0,0.8156712149685432,SDS,b,20,1,7.225
116543.0,143600.0,0.8115807799442897,SDS,b,20,1,8.075
138697.0,183635.0,0.7552863016309527,SDS,b,20,1,8.925
161489.0,222303.0,0.7264364403539314,SDS,b,20,1,9.775
162727.0,226285.0,0.7191241133968226,SDS,b,20,1,10.625
147906.0,203420.0,0.7270966473306459,SDS,b,20,1,12.75
145510.0,200047.0,0.727379065919509,SDS,b,20,1,16.460179221381527
127797.0,174505.0,0.7323400475631071,SDS,b,20,1,21.25
127400.0,154484.0,0.8246808731001268,SDS,c,20,1,3.4
137694.0,166079.0,0.8290873620385479,SDS,c,20,1,4.389381125701739
131974.0,162353.0,0.8128830388104932,SDS,c,20,1,5.666666666666667
127814.0,160456.0,0.7965672832427582,SDS,c,20,1,6.375
130300.0,162817.0,0.8002849825263947,SDS,c,20,1,7.225
134891.0,170678.0,0.7903244706406215,SDS,c,20,1,8.075
144607.0,183933.0,0.7861938858171182,SDS,c,20,1,8.925
132027.0,177338.0,0.7444935659587906,SDS,c,20,1,9.775
