replicate,334_373,334_384,600,ratio,surfactant_1,surfactant_1_ratio,surfactant_2,surfactant_2_ratio,analysis,well_idx,concentration
1,162250.0,199610.0,0.0412,0.8128350283051952,CAPB,0.05,CHAPS,0.95,fine_fine,1,2.955834165169496
1,181183.0,232683.0,0.0412,0.7786688327037213,CAPB,0.05,CHAPS,0.95,fine_fine,2,3.815965498617454
1,171213.0,224641.0,0.0417,0.7621627396601689,CAPB,0.05,CHAPS,0.95,fine_fine,3,4.292961185944636
1,178247.0,242549.0,0.0393,0.734890681882836,CAPB,0.05,CHAPS,0.95,fine_fine,4,4.865356010737254
1,182615.0,259802.0,0.0405,0.7029006705106197,CAPB,0.05,CHAPS,0.95,fine_fine,5,5.437750835529872
1,193749.0,284948.0,0.0391,0.6799451127925095,CAPB,0.05,CHAPS,0.95,fine_fine,6,6.01014566032249
1,214147.0,319361.0,0.0414,0.6705483762889018,CAPB,0.05,CHAPS,0.95,fine_fine,7,6.582540485115108
1,215430.0,313876.0,0.0433,0.6863538467420255,CAPB,0.05,CHAPS,0.95,fine_fine,8,7.154935309907726
1,230701.0,342154.0,0.0389,0.6742607130122693,CAPB,0.05,CHAPS,0.95,fine_fine,9,8.585922371889271
1,234075.0,357083.0,0.0395,0.6555198651293956,CAPB,0.05,CHAPS,0.95,fine_fine,10,11.084378119385612
1,219206.0,332853.0,0.0409,0.6585669950398524,CAPB,0.05,CHAPS,0.95,fine_fine,11,14.309870619815452
2,138376.0,176026.0,0.0412,0.7861111426721052,CAPB,0.05,CHAPS,0.95,fine_fine,12,2.289579299170472
2,149689.0,191456.0,0.0412,0.7818454370717032,CAPB,0.05,CHAPS,0.95,fine_fine,13,2.955834165169496
2,169673.0,221096.0,0.0414,0.7674177732749575,CAPB,0.05,CHAPS,0.95,fine_fine,14,3.815965498617454
2,163591.0,212818.0,0.0419,0.7686896785046378,CAPB,0.05,CHAPS,0.95,fine_fine,15,4.292961185944636
2,168128.0,229813.0,0.0394,0.7315861156679562,CAPB,0.05,CHAPS,0.95,fine_fine,16,4.865356010737254
2,172727.0,244554.0,0.0403,0.7062939064582874,CAPB,0.05,CHAPS,0.95,fine_fine,17,5.437750835529872
2,186490.0,271046.0,0.0391,0.6880381927790855,CAPB,0.05,CHAPS,0.95,fine_fine,18,6.01014566032249
2,203783.0,299770.0,0.0412,0.6797978450145111,CAPB,0.05,CHAPS,0.95,fine_fine,19,6.582540485115108
2,203354.0,298728.0,0.0434,0.6807329744784553,CAPB,0.05,CHAPS,0.95,fine_fine,20,7.154935309907726
2,221070.0,331335.0,0.039,0.6672099234913306,CAPB,0.05,CHAPS,0.95,fine_fine,21,8.585922371889271
2,226465.0,345485.0,0.0395,0.6554987915539024,CAPB,0.05,CHAPS,0.95,fine_fine,22,11.084378119385612
2,211258.0,323089.0,0.0411,0.6538693672641285,CAPB,0.05,CHAPS,0.95,fine_fine,23,14.309870619815452
3,129932.0,167821.0,0.0409,0.7742296852003027,CAPB,0.05,CHAPS,0.95,fine_fine,24,2.289579299170472
3,141693.0,184699.0,0.0411,0.7671562921293564,CAPB,0.05,CHAPS,0.95,fine_fine,25,2.955834165169496
3,161095.0,212173.0,0.0412,0.7592624886295617,CAPB,0.05,CHAPS,0.95,fine_fine,26,3.815965498617454
3,154697.0,204585.0,0.0416,0.7561502553950681,CAPB,0.05,CHAPS,0.95,fine_fine,27,4.292961185944636
3,161670.0,224037.0,0.0395,0.7216218749581542,CAPB,0.05,CHAPS,0.95,fine_fine,28,4.865356010737254
3,165055.0,237598.0,0.0404,0.6946817734156011,CAPB,0.05,CHAPS,0.95,fine_fine,29,5.437750835529872
3,180846.0,264640.0,0.0394,0.6833660822249094,CAPB,0.05,CHAPS,0.95,fine_fine,30,6.01014566032249
3,198566.0,290849.0,0.0413,0.6827116476247125,CAPB,0.05,CHAPS,0.95,fine_fine,31,6.582540485115108
3,196432.0,288827.0,0.0433,0.6801026219847868,CAPB,0.05,CHAPS,0.95,fine_fine,32,7.154935309907726
3,213615.0,324717.0,0.0392,0.6578497584050111,CAPB,0.05,CHAPS,0.95,fine_fine,33,8.585922371889271
3,220900.0,338290.0,0.0396,0.6529900381329629,CAPB,0.05,CHAPS,0.95,fine_fine,34,11.084378119385612
