334_373,334_384,ratio,surfactant_1,assay,time,replicate,concentration,analysis,surfactant_1_ratio,surfactant_2,surfactant_2_ratio
139907.0,169561.0,0.8251130861459888,SDS,b,30,1,5.666666666666667,fine,1.0,N/A,0.0
127761.0,153692.0,0.8312794420008849,SDS,b,30,1,6.375,fine,1.0,N/A,0.0
115794.0,142026.0,0.8153014236829876,SDS,b,30,1,7.225,fine,1.0,N/A,0.0
114013.0,140153.0,0.8134895435702411,SDS,b,30,1,8.075,fine,1.0,N/A,0.0
137539.0,181730.0,0.7568315633082044,SDS,b,30,1,8.925,fine,1.0,N/A,0.0
160426.0,221117.0,0.7255254005797835,SDS,b,30,1,9.775,fine,1.0,N/A,0.0
162338.0,225229.0,0.720768639917595,SDS,b,30,1,10.625,fine,1.0,N/A,0.0
150162.0,205254.0,0.7315911017568476,SDS,b,30,1,12.75,fine,1.0,N/A,0.0
146283.0,200432.0,0.729838548734733,SDS,b,30,1,16.460179221381527,fine,1.0,N/A,0.0
125739.0,170907.0,0.7357159156734364,SDS,b,30,1,21.25,fine,1.0,N/A,0.0
125074.0,150708.0,0.8299094938556679,SDS,c,30,1,3.4,fine,1.0,N/A,0.0
136088.0,162848.0,0.8356749852623305,SDS,c,30,1,4.389381125701739,fine,1.0,N/A,0.0
128484.0,157267.0,0.8169800403136068,SDS,c,30,1,5.666666666666667,fine,1.0,N/A,0.0
124388.0,154589.0,0.8046368111573269,SDS,c,30,1,6.375,fine,1.0,N/A,0.0
124714.0,156761.0,0.7955677751481555,SDS,c,30,1,7.225,fine,1.0,N/A,0.0
131857.0,164805.0,0.8000788811019083,SDS,c,30,1,8.075,fine,1.0,N/A,0.0
133819.0,177500.0,0.7539098591549296,SDS,c,30,1,8.925,fine,1.0,N/A,0.0
129070.0,172330.0,0.748969999419718,SDS,c,30,1,9.775,fine,1.0,N/A,0.0
153542.0,210202.0,0.730449757851971,SDS,c,30,1,10.625,fine,1.0,N/A,0.0
153732.0,214621.0,0.7162952367196127,SDS,c,30,1,12.75,fine,1.0,N/A,0.0
137652.0,186693.0,0.7373174141505038,SDS,c,30,1,16.460179221381527,fine,1.0,N/A,0.0
125105.0,169522.0,0.7379868099715671,SDS,c,30,1,21.25,fine,1.0,N/A,0.0
129777.0,165376.0,0.7847390189628483,SDS,a,0,3,3.4,fine,1.0,N/A,0.0
138176.0,176001.0,0.7850864483724525,SDS,a,0,3,4.389381125701739,fine,1.0,N/A,0.0
136360.0,171454.0,0.7953153615547027,SDS,a,0,3,5.666666666666667,fine,1.0,N/A,0.0
136981.0,170644.0,0.8027296594078901,SDS,a,0,3,6.375,fine,1.0,N/A,0.0
136933.0,168919.0,0.8106429708913739,SDS,a,0,3,7.225,fine,1.0,N/A,0.0
130764.0,163574.0,0.799418000415714,SDS,a,0,3,8.075,fine,1.0,N/A,0.0
145583.0,194629.0,0.7480026100940764,SDS,a,0,3,8.925,fine,1.0,N/A,0.0
153981.0,212175.0,0.7257264050901379,SDS,a,0,3,9.775,fine,1.0,N/A,0.0
151613.0,214043.0,0.7083296346995697,SDS,a,0,3,10.625,fine,1.0,N/A,0.0
152118.0,213549.0,0.7123330008569462,SDS,a,0,3,12.75,fine,1.0,N/A,0.0
139868.0,197087.0,0.7096764373094115,SDS,a,0,3,16.460179221381527,fine,1.0,N/A,0.0
126048.0,174592.0,0.7219574780058651,SDS,a,0,3,21.25,fine,1.0,N/A,0.0
144952.0,178035.0,0.8141769876709636,NaDC,b,5,1,2.135,fine,1.0,N/A,0.0
132865.0,161937.0,0.8204733939741998,NaDC,b,5,1,2.756273148050945,fine,1.0,N/A,0.0
156370.0,186096.0,0.8402652394463073,NaDC,b,5,1,3.5583333333333336,fine,1.0,N/A,0.0
165539.0,197377.0,0.8386944780800194,NaDC,b,5,1,4.003125000000001,fine,1.0,N/A,0.0
125766.0,155832.0,0.8070614507931618,NaDC,b,5,1,4.536875,fine,1.0,N/A,0.0
121411.0,149012.0,0.8147733068477706,NaDC,b,5,1,5.070625000000001,fine,1.0,N/A,0.0
162952.0,229721.0,0.7093474257904153,NaDC,b,5,1,5.604375,fine,1.0,N/A,0.0
169098.0,242441.0,0.6974810366233434,NaDC,b,5,1,6.1381250000000005,fine,1.0,N/A,0.0
169122.0,243600.0,0.6942610837438423,NaDC,b,5,1,6.671875,fine,1.0,N/A,0.0
162335.0,234835.0,0.6912725956522665,NaDC,b,5,1,8.006250000000003,fine,1.0,N/A,0.0
151979.0,219902.0,0.6911214995770844,NaDC,b,5,1,10.336024305191044,fine,1.0,N/A,0.0
130852.0,187041.0,0.6995899294807021,NaDC,b,5,1,13.343749999999996,fine,1.0,N/A,0.0
133071.0,164466.0,0.8091094815949801,NaDC,c,5,1,2.135,fine,1.0,N/A,0.0
127073.0,158260.0,0.8029382029571591,NaDC,c,5,1,2.756273148050945,fine,1.0,N/A,0.0
132120.0,162563.0,0.812731064264316,NaDC,c,5,1,3.5583333333333336,fine,1.0,N/A,0.0
131733.0,163446.0,0.8059726148085606,NaDC,c,5,1,4.003125000000001,fine,1.0,N/A,0.0
132404.0,164457.0,0.8050979891400184,NaDC,c,5,1,4.536875,fine,1.0,N/A,0.0
132278.0,162573.0,0.8136529436007209,NaDC,c,5,1,5.070625000000001,fine,1.0,N/A,0.0
176942.0,247247.0,0.7156487237458897,NaDC,c,5,1,5.604375,fine,1.0,N/A,0.0
182042.0,253345.0,0.7185537508141072,NaDC,c,5,1,6.1381250000000005,fine,1.0,N/A,0.0
164987.0,234427.0,0.7037883861500595,NaDC,c,5,1,6.671875,fine,1.0,N/A,0.0
160824.0,231801.0,0.6938020112078895,NaDC,c,5,1,8.006250000000003,fine,1.0,N/A,0.0
150621.0,217885.0,0.6912866879317071,NaDC,c,5,1,10.336024305191044,fine,1.0,N/A,0.0
134391.0,191668.0,0.701165557109168,NaDC,c,5,1,13.343749999999996,fine,1.0,N/A,0.0
142318.0,176591.0,0.8059187614317831,SDS,b,20,1,3.4,fine,1.0,N/A,0.0
142082.0,176138.0,0.8066516027205941,SDS,b,20,1,4.389381125701739,fine,1.0,N/A,0.0
143190.0,176042.0,0.8133854421104054,SDS,b,20,1,5.666666666666667,fine,1.0,N/A,0.0
130801.0,158066.0,0.8275087621626409,SDS,b,20,1,6.375,fine,1.0,N/A,0.0
119796.0,146868.0,0.8156712149685432,SDS,b,20,1,7.225,fine,1.0,N/A,0.0
116543.0,143600.0,0.8115807799442897,SDS,b,20,1,8.075,fine,1.0,N/A,0.0
138697.0,183635.0,0.7552863016309527,SDS,b,20,1,8.925,fine,1.0,N/A,0.0
161489.0,222303.0,0.7264364403539314,SDS,b,20,1,9.775,fine,1.0,N/A,0.0
162727.0,226285.0,0.7191241133968226,SDS,b,20,1,10.625,fine,1.0,N/A,0.0
147906.0,203420.0,0.7270966473306459,SDS,b,20,1,12.75,fine,1.0,N/A,0.0
145510.0,200047.0,0.727379065919509,SDS,b,20,1,16.460179221381527,fine,1.0,N/A,0.0
127797.0,174505.0,0.7323400475631071,SDS,b,20,1,21.25,fine,1.0,N/A,0.0
127400.0,154484.0,0.8246808731001268,SDS,c,20,1,3.4,fine,1.0,N/A,0.0
137694.0,166079.0,0.8290873620385479,SDS,c,20,1,4.389381125701739,fine,1.0,N/A,0.0
131974.0,162353.0,0.8128830388104932,SDS,c,20,1,5.666666666666667,fine,1.0,N/A,0.0
127814.0,160456.0,0.7965672832427582,SDS,c,20,1,6.375,fine,1.0,N/A,0.0
130300.0,162817.0,0.8002849825263947,SDS,c,20,1,7.225,fine,1.0,N/A,0.0
134891.0,170678.0,0.7903244706406215,SDS,c,20,1,8.075,fine,1.0,N/A,0.0
144607.0,183933.0,0.7861938858171182,SDS,c,20,1,8.925,fine,1.0,N/A,0.0
132027.0,177338.0,0.7444935659587906,SDS,c,20,1,9.775,fine,1.0,N/A,0.0
152836.0,211684.0,0.7220007180514352,SDS,c,20,1,10.625,fine,1.0,N/A,0.0
153616.0,214748.0,0.7153314582673646,SDS,c,20,1,12.75,fine,1.0,N/A,0.0
135936.0,183989.0,0.7388267776877966,SDS,c,20,1,16.460179221381527,fine,1.0,N/A,0.0
122152.0,166906.0,0.7318610475357387,SDS,c,20,1,21.25,fine,1.0,N/A,0.0
148084.0,186628.0,0.793471504811711,NaC,b,5,2,5.599999999999999,fine,1.0,N/A,0.0
147619.0,183812.0,0.8030977302896438,NaC,b,5,2,7.22956891292051,fine,1.0,N/A,0.0
146386.0,182870.0,0.8004921528954996,NaC,b,5,2,9.333333333333334,fine,1.0,N/A,0.0
185859.0,229971.0,0.8081845102208539,NaC,b,5,2,10.5,fine,1.0,N/A,0.0
152546.0,197782.0,0.7712835343964567,NaC,b,5,2,11.9,fine,1.0,N/A,0.0
165787.0,221702.0,0.7477920812622348,NaC,b,5,2,13.3,fine,1.0,N/A,0.0
186257.0,257240.0,0.7240592442854922,NaC,b,5,2,14.7,fine,1.0,N/A,0.0
183946.0,258931.0,0.7104054748176155,NaC,b,5,2,16.1,fine,1.0,N/A,0.0
195260.0,280530.0,0.6960396392542687,NaC,b,5,2,17.5,fine,1.0,N/A,0.0
230565.0,344150.0,0.6699549614993462,NaC,b,5,2,21.0,fine,1.0,N/A,0.0
228106.0,347337.0,0.656728191928876,NaC,b,5,2,27.110883423451927,fine,1.0,N/A,0.0
222716.0,342607.0,0.6500626081778831,NaC,b,5,2,35.0,fine,1.0,N/A,0.0
139872.0,173052.0,0.8082657235975313,NaC,c,5,2,5.599999999999999,fine,1.0,N/A,0.0
145563.0,180357.0,0.8070826194713817,NaC,c,5,2,7.22956891292051,fine,1.0,N/A,0.0
152723.0,191941.0,0.795676796515596,NaC,c,5,2,9.333333333333334,fine,1.0,N/A,0.0
157552.0,200966.0,0.783973408437248,NaC,c,5,2,10.5,fine,1.0,N/A,0.0
166052.0,214070.0,0.7756901947960947,NaC,c,5,2,11.9,fine,1.0,N/A,0.0
166202.0,217325.0,0.7647624525480271,NaC,c,5,2,13.3,fine,1.0,N/A,0.0
185493.0,248588.0,0.7461864611324762,NaC,c,5,2,14.7,fine,1.0,N/A,0.0
193217.0,267489.0,0.7223362456026229,NaC,c,5,2,16.1,fine,1.0,N/A,0.0
194061.0,278782.0,0.6961030482599307,NaC,c,5,2,17.5,fine,1.0,N/A,0.0
205137.0,304044.0,0.6746951099183013,NaC,c,5,2,21.0,fine,1.0,N/A,0.0
207900.0,316476.0,0.6569218518939824,NaC,c,5,2,27.110883423451927,fine,1.0,N/A,0.0
222014.0,340576.0,0.6518779949262427,NaC,c,5,2,35.0,fine,1.0,N/A,0.0
129328.0,159973.0,0.8084364236464904,NaDC,c,10,1,2.135,fine,1.0,N/A,0.0
123838.0,152088.0,0.814252274998685,NaDC,c,10,1,2.756273148050945,fine,1.0,N/A,0.0
127553.0,156793.0,0.8135120828098193,NaDC,c,10,1,3.5583333333333336,fine,1.0,N/A,0.0
126567.0,157099.0,0.8056512135659679,NaDC,c,10,1,4.003125000000001,fine,1.0,N/A,0.0
127555.0,158499.0,0.8047684843437498,NaDC,c,10,1,4.536875,fine,1.0,N/A,0.0
130518.0,158127.0,0.8253998368400084,NaDC,c,10,1,5.070625000000001,fine,1.0,N/A,0.0
169544.0,234115.0,0.7241911026632211,NaDC,c,10,1,5.604375,fine,1.0,N/A,0.0
167074.0,232524.0,0.7185236792761177,NaDC,c,10,1,6.1381250000000005,fine,1.0,N/A,0.0
164838.0,235259.0,0.7006660744116059,NaDC,c,10,1,6.671875,fine,1.0,N/A,0.0
160392.0,230827.0,0.6948580538671819,NaDC,c,10,1,8.006250000000003,fine,1.0,N/A,0.0
152803.0,221510.0,0.6898243871608505,NaDC,c,10,1,10.336024305191044,fine,1.0,N/A,0.0
136983.0,195109.0,0.702084475857085,NaDC,c,10,1,13.343749999999996,fine,1.0,N/A,0.0
140851.0,175870.0,0.8008813328026383,NaDC,b,10,1,2.135,fine,1.0,N/A,0.0
131088.0,158090.0,0.829198557783541,NaDC,b,10,1,2.756273148050945,fine,1.0,N/A,0.0
148626.0,179279.0,0.829020688424188,NaDC,b,10,1,3.5583333333333336,fine,1.0,N/A,0.0
156670.0,188606.0,0.8306734674400602,NaDC,b,10,1,4.003125000000001,fine,1.0,N/A,0.0
123117.0,150472.0,0.8182053804029986,NaDC,b,10,1,4.536875,fine,1.0,N/A,0.0
118492.0,144280.0,0.8212642084835043,NaDC,b,10,1,5.070625000000001,fine,1.0,N/A,0.0
161255.0,226589.0,0.7116629668695303,NaDC,b,10,1,5.604375,fine,1.0,N/A,0.0
169360.0,241302.0,0.7018590811514203,NaDC,b,10,1,6.1381250000000005,fine,1.0,N/A,0.0
168602.0,241533.0,0.6980495418845458,NaDC,b,10,1,6.671875,fine,1.0,N/A,0.0
162116.0,235089.0,0.689594153703491,NaDC,b,10,1,8.006250000000003,fine,1.0,N/A,0.0
153354.0,222006.0,0.690765114456366,NaDC,b,10,1,10.336024305191044,fine,1.0,N/A,0.0
129221.0,185142.0,0.6979561633772996,NaDC,b,10,1,13.343749999999996,fine,1.0,N/A,0.0
135162.0,168539.0,0.8019627504613176,NaC,c,5,3,5.599999999999999,fine,1.0,N/A,0.0
141473.0,176835.0,0.8000282749455707,NaC,c,5,3,7.22956891292051,fine,1.0,N/A,0.0
147787.0,187161.0,0.7896249752886553,NaC,c,5,3,9.333333333333334,fine,1.0,N/A,0.0
152762.0,195919.0,0.7797201904868849,NaC,c,5,3,10.5,fine,1.0,N/A,0.0
160222.0,210093.0,0.7626241712003732,NaC,c,5,3,11.9,fine,1.0,N/A,0.0
160251.0,212798.0,0.7530662882169945,NaC,c,5,3,13.3,fine,1.0,N/A,0.0
181098.0,244619.0,0.7403267939121655,NaC,c,5,3,14.7,fine,1.0,N/A,0.0
189472.0,263372.0,0.7194082894157313,NaC,c,5,3,16.1,fine,1.0,N/A,0.0
189949.0,274227.0,0.6926706706487691,NaC,c,5,3,17.5,fine,1.0,N/A,0.0
201812.0,299073.0,0.6747917732459968,NaC,c,5,3,21.0,fine,1.0,N/A,0.0
204866.0,312991.0,0.654542782380324,NaC,c,5,3,27.110883423451927,fine,1.0,N/A,0.0
220007.0,339140.0,0.6487202925045704,NaC,c,5,3,35.0,fine,1.0,N/A,0.0
144055.0,183926.0,0.7832226003936366,NaC,b,5,3,5.599999999999999,fine,1.0,N/A,0.0
143292.0,180355.0,0.7944997366305342,NaC,b,5,3,7.22956891292051,fine,1.0,N/A,0.0
142583.0,179344.0,0.7950252029619056,NaC,b,5,3,9.333333333333334,fine,1.0,N/A,0.0
179912.0,225321.0,0.7984697387283032,NaC,b,5,3,10.5,fine,1.0,N/A,0.0
150111.0,195512.0,0.767784074634805,NaC,b,5,3,11.9,fine,1.0,N/A,0.0
162972.0,217569.0,0.7490589192394137,NaC,b,5,3,13.3,fine,1.0,N/A,0.0
183172.0,251360.0,0.728723742838956,NaC,b,5,3,14.7,fine,1.0,N/A,0.0
179898.0,254632.0,0.7065019322001947,NaC,b,5,3,16.1,fine,1.0,N/A,0.0
192546.0,277321.0,0.6943073189552901,NaC,b,5,3,17.5,fine,1.0,N/A,0.0
226604.0,338160.0,0.6701088242252188,NaC,b,5,3,21.0,fine,1.0,N/A,0.0
225209.0,343221.0,0.656163230105384,NaC,b,5,3,27.110883423451927,fine,1.0,N/A,0.0
219952.0,337274.0,0.652146326132462,NaC,b,5,3,35.0,fine,1.0,N/A,0.0
